20220919	19:02:24	d7782289-9eb6-4234-bda9-966e234fbc8a	GET	/
20220919	19:02:24	58f85bd1-118a-471e-92c4-7b3ccbd55603	GET	/css/style.css
20220919	19:04:35	efba1b84-3040-4e24-8358-812546e252d6	GET	/
20220919	19:04:36	347567bc-2acb-474b-9e10-f57596d67500	GET	/css/style.css
20220919	20:04:06	3e8cda55-a4b0-440d-bfa5-ea24d9a45bb1	OPTIONS	/
20220919	20:04:06	024f133c-277e-4e7e-a68e-c5f906ff7f5e	GET	/
20220919	20:04:53	c5af2ae7-df3e-42cd-a66a-9d73ac650cac	OPTIONS	/
20220919	20:04:53	a621e9d1-cd3e-4c68-8abe-1fb4a7de22c7	GET	/
20220919	20:10:10	8866ec96-e210-4129-92ba-3af79eda4b0a	OPTIONS	/
20220919	20:10:10	9bf88fef-c101-40dd-af36-b3dae624c6ff	GET	/
20220919	20:11:26	6bddda5a-2293-42e2-8d8c-95650f5eebaf	OPTIONS	/
20220919	20:11:26	c62b1d80-4df4-4536-a02e-89b766b577d7	GET	/
20220919	20:12:39	dfeb9575-7c2a-4fb3-b178-5f251ae2404e	OPTIONS	/
20220919	20:12:39	2bde603f-0072-4ba1-bfbd-35cbf4d5a67f	GET	/
20220919	20:14:47	f0127ff0-7e53-470a-a19c-421ceadfd2c7	OPTIONS	/
20220919	20:14:47	9b5b11b0-bf7b-406f-b3c4-61daec7fcbbb	GET	/
20220919	20:18:03	96429a8e-c550-4548-a905-d6d4fdd8e123	OPTIONS	https://www.google.com	/
20220919	20:18:03	b0b39f8d-09f9-4ec2-b606-a2aa69deb321	GET	https://www.google.com	/
20220919	20:18:53	1fd4da3f-3ed1-40f3-82a3-543379da4b9b	GET	undefined	/
20220919	20:18:55	5f2bae13-bfaf-4fc0-b77a-db4dbe1d5460	GET	undefined	/favicon.ico
20220919	20:19:37	49c410a5-b210-4cc6-b737-e42e4daf4f79	GET	undefined	/
20220919	20:19:38	e3821412-8c2b-4277-bb45-1634d29dac58	GET	undefined	/css/style.css
20220919	20:19:40	57ecdedc-4c0f-49be-87ab-4419cd48c645	GET	undefined	/favicon.ico
20220920	09:07:04	a738f4a9-e973-4e77-a4c9-609c5aa39605	GET	undefined	/
20220920	09:07:06	d7de3259-57b9-4bcd-a9af-d56be4d3f071	GET	undefined	/favicon.ico
20220920	09:07:29	8ba5af0b-8558-4a41-a1fa-0b70f73067b9	GET	undefined	/
20220920	09:07:30	7614b3b4-99a9-4a6a-a1a0-f7af61ac6476	GET	undefined	/css/style.css
20220920	09:07:39	32f35273-cc58-48db-9ade-80811d03ad20	GET	undefined	/new-page
20220920	09:07:39	8e2cca03-731c-4bee-8fd6-316b01e1b6ca	GET	undefined	/css/style.css
20220920	09:07:39	8b184e76-1351-4d53-9781-095e2187e584	GET	undefined	/img/img1.jpg
20220920	09:07:48	d9cd7688-d204-48eb-bbe1-b5330684078b	GET	undefined	/new-page
20220920	09:07:48	fa615e1a-c77c-42aa-8f21-5e14b37d2e0b	GET	undefined	/css/style.css
20220920	09:07:48	5a18bfed-070d-4629-9a24-78c1b4222bb1	GET	undefined	/img/img1.jpg
20220920	09:07:56	a53d792b-36b8-423f-9708-6e4bffb01e44	GET	undefined	/isaac
20220920	09:07:56	1319c210-13f3-46d6-a2d7-1dde5319eecc	GET	undefined	/css/style.css
20220920	09:08:04	7742f492-9ab8-4913-a6b3-cb6050e9a2cb	GET	undefined	/subdir
20220920	09:08:04	ae1fe4a1-0772-4d9a-b29c-dd4c908d8daf	GET	undefined	/css/style.css
20220920	09:08:36	d6b194ce-e2f6-4c83-915b-a7e9fef0b626	GET	undefined	/subdir
20220920	09:08:36	2fcb3de8-41f8-4718-a8d8-d1241d072b51	GET	undefined	/css/style.css
20220920	09:10:45	beac5d0f-b983-4886-acab-19eb4b366134	GET	undefined	/subdir
